lng,lat,Mz,SRT,SK
118.063978,38.278714,3.445175,0.675874781,0.509536775
118.064036,38.30602,4.62345,1.082039786,1.272350107
118.064033,38.333301,4.318475,0.714150666,0.694393003
118.063964,38.360756,4.602675,0.836604951,1.000502337
118.0641,38.387811,4.36115,1.000984854,1.170187082
118.064108,38.415074,5.2723,2.586197056,-1.026332929
118.064033,38.442482,5.58065,1.765834244,1.448737082
118.064022,38.469669,5.614125,2.308871582,-1.194284611
118.063937,38.496856,7.20475,1.364190213,0.950055846
118.098788,38.496727,6.36445,1.504859195,1.218224608
118.098881,38.469614,6.355275,1.556893437,1.284576268
118.098708,38.442481,6.0637,1.430412461,1.105876279
118.098699,38.415054,5.101725,1.340159328,1.428028321
118.098804,38.387964,4.311725,0.642740246,0.565638673
118.098645,38.360586,5.1461,0.969183827,1.152980754
118.098645,38.33328,4.339975,0.615470957,0.535227186
118.098642,38.305973,4.8464,1.338976116,1.264361805
118.09861,38.278704,3.3461,0.723992258,0.724857586
118.133322,38.224131,3.974025,1.032303395,0.992457619
118.121707,38.251394,3.57685,0.687436599,0.687227452
118.133271,38.278723,4.3066,1.291552918,1.4913779
118.133233,38.306103,4.149275,0.771041163,0.847338257
118.133229,38.333259,3.9091,0.590836009,0.338382175
118.133235,38.360625,4.332275,0.711050859,0.844060194
118.133296,38.387995,4.55135,0.916863227,1.004213804
118.133302,38.415131,6.164025,1.80317312,1.281260878
118.133093,38.442379,5.469625,1.617460157,1.378897934
118.133228,38.469618,6.3691,1.459534237,1.211477507
118.133243,38.496699,6.3306,1.495661606,1.186754696
118.167986,38.496814,5.367575,1.316577426,1.273101838
118.167826,38.469505,6.22655,1.474050575,1.079670069
118.167943,38.442266,6.0655,1.485217913,1.171764017
118.167812,38.415167,5.186075,1.09900573,1.084636693
118.167878,38.387869,4.240525,0.584912578,0.539291285
118.168022,38.360586,3.875925,1.600864733,0.885981019
118.167813,38.333129,3.83395,0.678824276,-0.556770862
118.167859,38.30602,3.995425,0.642615024,0.586094725
118.167908,38.278753,4.11455,0.979899636,1.252724142
118.167912,38.251403,3.8504,0.775399794,1.027561274
118.167245,38.228612,3.710125,0.516899395,0.55629057
118.202445,38.224095,5.55095,1.635693002,1.498367799
118.202445,38.251483,3.714425,0.524318052,0.537728365
118.202604,38.278666,3.93695,0.647543201,0.670742717
118.20251,38.306024,4.395825,1.230039662,1.432276194
118.202531,38.333298,3.955575,0.57081207,-0.390315761
118.20253,38.360769,4.8884,1.114353149,1.186718366
118.202686,38.387849,4.71755,1.228300451,1.087898865
118.202534,38.415153,4.40395,0.651181156,0.651930656
118.202594,38.44237,6.215625,1.462653705,1.248600678
118.202506,38.469627,5.285325,2.129745206,0.65125859
118.202598,38.496866,6.272025,1.315609136,1.020296306
118.237022,38.49671,6.683025,1.50804985,1.105632395
118.237051,38.469605,5.902225,1.863642951,-0.457838985
118.237016,38.442381,5.975475,1.723364739,1.382093887
118.237184,38.415131,4.4027,0.841164496,0.611075613
118.237103,38.387912,4.407575,0.68681884,0.672433803
118.237129,38.360589,4.140575,1.610559272,1.098642679
118.237056,38.333256,4.71485,1.122063714,1.252351077
118.237198,38.305936,4.55225,1.169639875,1.429848745
118.237131,38.278874,4.39995,0.977964722,0.985075211
118.23725,38.251448,4.50725,1.441660479,1.760649372
118.237241,38.224066,3.334825,0.710909431,0.828435653
118.272053,38.197113,4.0504,1.150449842,1.430236771
118.271707,38.2241,3.71145,0.540637492,0.399057744
118.271927,38.251559,3.76375,0.65237906,-0.458116517
118.271743,38.278714,3.9188,0.576395316,0.467768767
118.271864,38.305982,4.80465,1.370324187,1.61726212
118.271778,38.333061,3.811975,0.7244716,-0.627886158
118.271716,38.360586,4.012475,0.68237224,0.499298376
118.271689,38.38792,5.225325,1.186719699,1.324247721
118.271942,38.415074,3.806575,1.122017945,-1.114237084
118.271681,38.442488,5.949875,1.540401728,1.340932382
